source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,Apple,Apple M2,10-Core GPU,8,DDR4,512,SSD,macOS,144990
ds01,Asus,12th Gen Intel Core i5 12500H ,Intel Iris Xe,16,DDR4,512,SSD,Windows 11,60539
ds01,Asus,5th Gen AMD Ryzen 7 5800H,AMD Radeon,16,DDR4,512,SSD,Windows,56990
ds01,HP,13th Gen Intel Core i5 1340p,Intel Integrated Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,75533
ds01,Dell,13th Gen Intel Core i5 13450HX,6GB NVIDIA GeForce RTX 3050,8,DDR5,512,SSD,Windows 11,74990
ds01,Asus,7th Gen AMD Ryzen 7 7735HS,6GB NVIDIA GeForce RTX 4050,16,DDR5,512,SSD,Windows 11,94990
ds01,Asus,13th Gen Intel Core i9 13980HX,8GB NVIDIA GeForce RTX 4060,16,DDR5,1024,SSD,Windows 11,179990
ds01,Asus,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,77990
ds01,HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,37990
ds01,HP,13th Gen Intel Core i5 1335U,Intel Integrated Integrated,16,DDR4,512,SSD,Windows 11,62990
ds01,Acer,13th Gen Intel Core i7 13700HX,8GB NVIDIA GeForce RTX 4060,16,DDR5,1024,SSD,Windows 11,129999
ds01,HP,5th Gen AMD Ryzen 5 5625U,AMD Radeon Graphics,8,DDR4,512,SSD,Windows 11,52990
ds01,Acer,13th Gen Intel Core i7 13700HX,6GB NVIDIA GeForce RTX 4050,16,DDR5,512,SSD,Windows 11,104990
ds01,Realme,11th Gen Intel Core i5 11320H,Intel Iris Xe Graphics,8,LPDDR4X,512,SSD,Windows 11,47999
ds01,Acer,13th Gen Intel Core i7 13700HX,6GB NVIDIA GeForce RTX 4050,16,DDR5,1024,SSD,Windows 11,114499
ds01,HP,12th Gen Intel Core i3 1215U,Intel UHD Graphics,8,DDR4,512,SSD,Windows 11,49990
ds01,Asus,12th Gen Intel Core i3 1215U,Intel Iris Xe,8,DDR4,512,SSD,Windows 11,39990
ds01,Acer,7th Gen AMD Ryzen 5 7535HS,4GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,68990
ds01,Acer,7th Gen AMD Ryzen 7 7735HS,4GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,79990
ds01,MSI,11th Gen Intel Core i7 11800H,4GB NVIDIA Geforce RTX 3050,16,DDR4,512,SSD,Windows 11,66490
ds01,Asus,5th Gen AMD Ryzen 7 5800H,AMD Radeon Graphics,16,DDR4,512,SSD,Windows 11,69990
ds01,Asus,13th Gen Intel Core i5 13500H,Intel Integrated Iris Xe,16,LPDDR5,512,SSD,Windows 11,86490
ds01,HP,7th Gen AMD Ryzen 3 7320U,AMD Radeon AMD,8,DDR4,512,SSD,Windows 11,32790
ds01,Asus,7th Gen AMD Ryzen 9  7945HX ,16GB NVIDIA GeForce RTX 4090,32,DDR5,2048,SSD,Windows 11,429990
ds01,Dell,5th Gen AMD Ryzen 5 5625U,AMD Radeon Graphics,16,DDR4,512,SSD,Windows 11,49990
ds01,MSI,7th Gen AMD Ryzen 5 7530U,AMD Radeon AMD,16,DDR4,512,SSD,Windows 11,43990
ds01,MSI,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,8,DDR4,512,SSD,Windows 11,36990
ds01,MSI,12th Gen Intel Core i7 12650H,8GB NVIDIA GeForce RTX 4060,16,DDR5,1024,SSD,Windows 11,102990
ds01,Acer,Intel Core i3 N305,Intel Integrated UHD,8,LPDDR5,256,SSD,Windows 11,29990
ds01,HP,13th Gen Intel Core i5 1335U,Intel Integrated Iris Xe,16,DDR4,1024,SSD,Windows 11,77889
ds01,Samsung,13th Gen Intel Core i5 1335U,Intel Iris Xe Graphics,8,LPDDR4X,512,SSD,Windows 11,69990
ds01,Samsung,13th Gen Intel Core i7 1360P,Intel Iris Xe Graphics,16,LPDDR4X,1024,SSD,Windows 11,138990
ds01,HP,5th Gen AMD Ryzen 5  5600H ,4GB AMD Radeon RX 6500M Graphics,8,DDR4,512,SSD,Windows 11,51990
ds01,Samsung,13th Gen Intel Core i5 1340P,Intel Iris Xe Graphics,8,LPDDR5,512,SSD,Windows 11,69990
ds01,Asus,5th Gen AMD Ryzen 5 5600H,4GB NVIDIA GeForce RTX 3050,16,DDR4,512,SSD,Windows 11,72990
ds01,Asus,5th Gen AMD Ryzen 5 5600H,AMD Radeon Vega 7,16,DDR4,512,SSD,Windows 11,50400
